gvkey,datadate,fyear,indfmt,tic,conm,curcd,at,ci,emp,lt,txpd,xopr,costat,mkvalt,prcc_f,city,state
14065,20161231,2016,INDL,CADNF,CASCADES INC,CAD,3813,135,11,2739,-10,3595,A,1143.7767,12.1,Kingsey Falls,QC
14078,20161231,2016,INDL,BDRBF,BOMBARDIER INC  -CL B,USD,22826,-1591,55.8,26315,106,15737,A,3574.747,1.61,Montreal,QC
14084,20161231,2016,INDL,AIN,ALBANY INTL CORP  -CL A,USD,1263.433,27.467,4.4,752.143,23.4,606.122,A,1486.693,46.3,Rochester,NH
14088,20161231,2016,INDL,AEP10,AEP GENERATING CO,USD,939.79,37.128,,630.286,-0.05,468.749,A,,,Columbus,OH
14089,20161231,2016,INDL,VIXH,FIRST TRUST CBOE S&P 500 VIX,USD,,,,,,,A,,23.74,Wheaton,IL
14108,20161231,2016,INDL,CYBE,CYBEROPTICS CORP,USD,59.58,,,10.682,,60.087,A,179.6202,26.1,Minneapolis,MN
14112,20160630,2016,INDL,FKWL,FRANKLIN WIRELESS CORP,USD,31.749,2.193,0.067,13.525,-1.039,56.718,A,24.2254,2.32,San Diego,CA
14113,20160930,2016,INDL,MITK,MITEK SYSTEMS INC,USD,48.385,1.92,0.117,8.9,0.017,29.911,A,271.7628,8.29,San Diego,CA
14118,20161231,2016,INDL,AMIVF,ATRIUM MORTGAGE INVESTMENT,CAD,531.856,26.12,0.001,253.316,,7.401,A,329.3379,12.15,Toronto,ON
14139,20160930,2016,INDL,UMEWF,UMEWORLD LTD,USD,0.438,-1.753,0.033,3.258,0,1.6,A,31.2676,0.35,Causeway Bay,
14140,20161231,2016,INDL,SAN,BANCO SANTANDER SA,USD,1413044.7,7579.501,188.492,1304676.715,3030.534,47091.466,A,,5.18,Madrid,
14140,20161231,2016,FS,SAN,BANCO SANTANDER SA,USD,1413044.7,7579.501,188.492,1304676.715,,,A,,5.18,Madrid,
14154,20161231,2016,INDL,PPL7,LG&E AND KU ENERGY LLC,USD,14371,405,3.507,9704,-24,1828,A,,,Louisville,KY
14169,20160930,2016,INDL,LDR,LANDAUER INC,USD,190.816,16.931,0.6,170.217,1.712,111.526,A,432.657,44.48,Glenwood,IL
14170,20160930,2016,INDL,SEV,SEVCON INC,USD,68.973,-8.282,0.276,47.202,0.245,51.833,A,47.063,8.81,Southborough,MA
14172,20161231,2016,INDL,FULT,FULTON FINANCIAL CORP,USD,18944.247,145.193,3.5,16823.132,16.193,439.262,A,3271.952,18.8,Lancaster,PA
14172,20161231,2016,FS,FULT,FULTON FINANCIAL CORP,USD,18944.247,145.193,3.5,16823.132,,,A,3271.952,18.8,Lancaster,PA
14219,20161231,2016,INDL,BXS,BANCORPSOUTH INC,USD,14724.388,123.616,3.998,13000.505,47.4,417.078,A,2909.2919,31.05,Tupelo,MS
14219,20161231,2016,FS,BXS,BANCORPSOUTH INC,USD,14724.388,123.616,3.998,13000.505,,,A,2909.2919,31.05,Tupelo,MS
14225,20161231,2016,INDL,FAST,FASTENAL CO,USD,2668.884,498.577,19.624,735.79,248.329,3062.677,A,13584.8308,46.98,Winona,MN
14229,20161231,2016,INDL,TATT,TAT TECHNOLOGIES LTD,USD,111.977,-0.007,,23.325,,88.16,A,77.2538,8.75,Gedera,
14253,20161231,2016,INDL,WABC,WESTAMERICA BANCORPORATION,USD,5366.083,48.104,0.783,4804.716,19.264,69.44,A,1630.3275,62.93,San Rafael,CA
14253,20161231,2016,FS,WABC,WESTAMERICA BANCORPORATION,USD,5366.083,48.104,0.783,4804.716,,,A,1630.3275,62.93,San Rafael,CA
14256,20160630,2016,INDL,MXIM,MAXIM INTEGRATED PRODUCTS,USD,4234.616,230.49,7.213,2126.802,43.898,1527.295,A,10132.7122,35.69,San Jose,CA
14269,20161231,2016,INDL,HLF,HERBALIFE LTD,USD,2565.4,220.4,8.3,2369.1,162.9,3746.5,A,4481.834,48.14,Grand Cayman,
14275,20161231,2016,INDL,FRC,FIRST REPUBLIC BANK,USD,73277.772,684.987,3.566,66369.12,89.28,1093.667,A,14216.4649,92.14,San Francisco,CA
14275,20161231,2016,FS,FRC,FIRST REPUBLIC BANK,USD,73277.772,684.987,3.566,66369.12,,,A,14216.4649,92.14,San Francisco,CA
14282,20161231,2016,INDL,APH,AMPHENOL CORP,USD,8498.7,711,62,4775.6,246.8,4827.6,A,20717.76,67.2,Wallingford,CT
